Company , Domain , SecurityGateway , Mail Domain , MX
St. Paul Cos. , stpaul.com ,  ,  , emailj.spt.com
SCI Systems , sci.com ,  , Google , aspmx.l.google.com
Bear Stearns , bearstearns.com , MessageLabs , unknown , cluster14.us.messagelabs.com
R.J. Reynolds Tobacco , rjrt.com , MessageLabs , unknown , cluster5.us.messagelabs.com
FPL Group , fpl.com ,  , Office365 , fpl-com.mail.protection.outlook.com
Nextera Energy , nexteraenergy.com ,  , Office365 , nexteraenergy-com.mail.protection.outlook.com
Smurfit-Stone Container , smurfit-stone.net ,  ,  , mx76.mb1p.com
US Airways Group , usairways.com ,  , Office365 , aa-com.mail.protection.outlook.com
Conseco , conseco.com ,  ,  , mx1.cnoinc.com
Gillette , gillette.com ,  , own-domain , gillette.buergstadt.net
Clear Channel Communications , clearchannel.com , ProofPoint , unknown , mxa-001b1801.gslb.pphosted.com
Cenex Harvest States , chsinc.com , ProofPoint , unknown , mxa-002ae201.gslb.pphosted.com
Aon , aon.com ,  , Office365 , aon-com.mail.protection.outlook.com
Chubb , chubb.com , ProofPoint , unknown , mx0b-002a5f01.pphosted.com
Nextel Communications , nextel.com ,  ,  , mail.global.sprint.com
American Standard , americanstandard.com , ProofPoint , unknown , mxa-001e3101.gslb.pphosted.com
Boise Cascade , bc.com , ProofPoint , unknown , mxa-001e5d01.gslb.pphosted.com
